Exercise,Set 1,Set 2,Set 3,Set 4
"2026-07-14, REST DAY",,,,
"2026-07-15, REST DAY",,,,
,,,,
"2026-08-06, PUSH B",Still felt a bit fatigued and I was tired,,,
Incline Smith Machine Bench Press,35×8 @7,35×9 @8,35×9 @8.5,35×9 @9
Weighted Chest Dips,bw×9 @7.5,bw×10 @8.5,bw×9 @10,
Flat Dumbbell Bench Press,40×8 @10,40×8 @9,,
Smith Machine Shoulder Press,25×7 @7.5,25×9 @8.5,25×9 @9,
Dumbbell Lateral Raise,12×12 @8,12×13 @9,12×13 @10,
Overhead Cable Extension (V-bar),80×11 @7.5,80×11 @8.5,80×7 @9.5,
,,,,
"2026-08-04, LEGS A","Felt fatigued and tired, lots of burning pain in Smith Machine Squats and Bulgarian Split Squats",,,
Smith Machine Squat,12.5×10 @7.5,15×10 @8,17.5×9 @8,17.5×4 @10
Dumbbell Bulgarian Split Squat,10×5 @7.5,10×4 @9.5,,
Leg Extension,70×6 @10,55×6 @9.5,,
Seated Leg Curl,155×9 @7,155×8 @10,,
Standing Calf Raise (Smith),35×13 @7.5,35×17 @8.5,35×14 @9,
Cable Ab Crunch,160×11 @7.5,170×7 @8.5,,
,,,,
"2026-08-03, PULL A",Tired and felt fatigued,,,
Chest Supported Row Machine,130×11 @7,135×12 @8,140×10 @7.5,140×13 @9
Lat Pulldown,120×9 @7.5,120×11 @8.5,120×11 @9,
Cable Lat Prayer,75×15 @8,80×12 @9,80×10 @9,
Cable Reverse Rear Delt Fly,32.5×14 @8,32.5×13 @9,32.5×10,
Dumbbell Shrug,50×5 @10,40×13 @9,,
Incline Dumbbell Curl,25×8 @9.5,25×7 @9.5,25×8 @10,
Single-Arm Cable Hammer Curl,30×14 @8.5,35×12 @9.5,,
,,,,
"2026-08-02, PUSH A","I’ve been sick with a cold I think since yesterday, today felt hard",,,
Smith Flat Bench Press,35×9 @7,40×8 @8,40×8 @8,40×10 @9
Incline Dumbbell Bench Press,35×11 @7.5,35×12 @8,35×13 @9,
Mid Cable Fly (on bench),45×12 @8,45×11 @9,45×11 @9,
Dumbbell Lateral Raise,15×9 @9.5,12×13 @9,12×14 @9.5,
Overhead Cable Triceps Extension,80×15 @7.5,90×14 @9,90×9 @9,
,,,,
"2026-08-01, SHOULDERS",,,,
Smith Machine Shoulder Press,25×10 @8,25×9 @8.5,25×12 @10,
Alternating Cable Lateral Raise,25×10 @8.5,25×10 @8.5,25×11 @9.5,
